Format Version,1.22,Take Name,big_HJH2_fullset_Ground_FID_clean,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,08 Dec 1969 22:54:33 -0500,Total Frames in Take,6822,Total Exported Frames,6822,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,0.076148,-0.330114,-0.940830,0.008116,-0.040146,1.365961,-0.279634,-0.057450,1.457580,-0.193172,-0.064092,1.488503,-0.154696,-0.103380,1.517285,-0.120747,-0.051213,1.542444,-0.086206,-0.057408,1.457608,-0.193134,-0.064168,1.488458,-0.154758,-0.095751,1.518333,-0.119496,-0.051181,1.542462,-0.086182,,,,,,,,,,,,,,,,-0.062992,1.287382,-0.475044,-0.007393,1.358985,-0.472016,0.048380,1.284118,-0.471037
7,0.029167,0.076454,-0.330115,-0.940808,0.007682,-0.040132,1.365961,-0.279635,-0.057454,1.457586,-0.193184,-0.064110,1.488511,-0.154712,-0.103410,1.517315,-0.120795,-0.051258,1.542441,-0.086207,-0.057411,1.457614,-0.193145,-0.064186,1.488468,-0.154771,-0.095790,1.518321,-0.119510,-0.051226,1.542455,-0.086187,,,,,,,,,,,,,,,,-0.062986,1.287390,-0.475034,-0.007386,1.358989,-0.472011,0.048377,1.284112,-0.471038
8,0.033333,0.076509,-0.330043,-0.940827,0.007917,-0.040101,1.365986,-0.279661,-0.057463,1.457592,-0.193198,-0.064132,1.488510,-0.154723,-0.103444,1.517291,-0.120801,-0.051302,1.542438,-0.086213,-0.057420,1.457623,-0.193157,-0.064208,1.488463,-0.154786,-0.095822,1.518309,-0.119526,-0.051270,1.542454,-0.086191,,,,,,,,,,,,,,,,-0.062986,1.287382,-0.475032,-0.007380,1.358988,-0.472007,0.048385,1.284113,-0.471026
9,0.037500,0.076731,-0.330039,-0.940811,0.007776,-0.040071,1.365987,-0.279670,-0.057466,1.457593,-0.193214,-0.064152,1.488511,-0.154742,-0.103478,1.517296,-0.120839,-0.051351,1.542436,-0.086224,-0.057423,1.457622,-0.193176,-0.064229,1.488468,-0.154801,-0.095853,1.518304,-0.119542,-0.051319,1.542451,-0.086204,,,,,,,,,,,,,,,,-0.062983,1.287378,-0.475033,-0.007385,1.358980,-0.472008,0.048384,1.284102,-0.471027
10,0.041667,0.076769,-0.329947,-0.940838,0.008121,-0.040024,1.366019,-0.279711,-0.057469,1.457601,-0.193239,-0.064169,1.488509,-0.154761,-0.103509,1.517263,-0.120848,-0.051394,1.542434,-0.086238,-0.057428,1.457631,-0.193200,-0.064240,1.488465,-0.154822,-0.095881,1.518292,-0.119568,-0.051364,1.542448,-0.086218,,,,,,,,,,,,,,,,-0.062968,1.287371,-0.475036,-0.007372,1.358985,-0.472002,0.048392,1.284111,-0.471023
11,0.045833,0.076901,-0.329953,-0.940826,0.008041,-0.040009,1.366014,-0.279729,-0.057474,1.457598,-0.193263,-0.064184,1.488506,-0.154787,-0.103533,1.517262,-0.120886,-0.051426,1.542430,-0.086260,-0.057431,1.457629,-0.193221,-0.064259,1.488464,-0.154844,-0.095907,1.518281,-0.119599,-0.051395,1.542441,-0.086245,,,,,,,,,,,,,,,,-0.062973,1.287381,-0.475026,-0.007373,1.358980,-0.472004,0.048395,1.284112,-0.471022
12,0.050000,0.077126,-0.330034,-0.940782,0.007684,-0.040006,1.365985,-0.279731,-0.057480,1.457589,-0.193288,-0.064199,1.488506,-0.154820,-0.103555,1.517287,-0.120949,-0.051458,1.542431,-0.086292,-0.057436,1.457615,-0.193252,-0.064276,1.488464,-0.154877,-0.095929,1.518279,-0.119636,-0.051426,1.542446,-0.086272,,,,,,,,,,,,,,,,-0.062973,1.287383,-0.475024,-0.007364,1.358983,-0.472000,0.048397,1.284114,-0.471022
13,0.054167,0.077068,-0.329976,-0.940803,0.008143,-0.039971,1.366009,-0.279777,-0.057486,1.457594,-0.193322,-0.064215,1.488503,-0.154850,-0.103580,1.517250,-0.120961,-0.051490,1.542436,-0.086324,-0.057441,1.457623,-0.193283,-0.064293,1.488460,-0.154909,-0.095948,1.518274,-0.119673,-0.051457,1.542449,-0.086306,,,,,,,,,,,,,,,,-0.062969,1.287379,-0.475028,-0.007368,1.358983,-0.472000,0.048394,1.284117,-0.471016
14,0.058333,0.077236,-0.330106,-0.940746,0.007875,-0.039968,1.365965,-0.279780,-0.057488,1.457578,-0.193356,-0.064224,1.488499,-0.154895,-0.103595,1.517270,-0.121032,-0.051511,1.542443,-0.086375,-0.057442,1.457608,-0.193315,-0.064304,1.488456,-0.154953,-0.095970,1.518263,-0.119723,-0.051478,1.542455,-0.086358,,,,,,,,,,,,,,,,-0.062963,1.287383,-0.475015,-0.007367,1.358981,-0.471998,0.048399,1.284120,-0.471014
15,0.062500,0.077306,-0.330142,-0.940727,0.007855,-0.039958,1.365949,-0.279811,-0.057491,1.457569,-0.193397,-0.064232,1.488493,-0.154939,-0.103608,1.517266,-0.121084,-0.051530,1.542441,-0.086421,-0.057442,1.457595,-0.193360,-0.064316,1.488453,-0.154993,-0.095982,1.518269,-0.119774,-0.051496,1.542453,-0.086404,,,,,,,,,,,,,,,,-0.062965,1.287380,-0.475022,-0.007367,1.358992,-0.471988,0.048396,1.284112,-0.471020
